,train,val
0,0.4194570343668868,0.3822559101714028
1,0.3110867107241619,0.3255162487427394
2,0.18306106406195863,0.2950519977344407
3,0.15109421589934244,0.2568729652298821
4,0.09729795039790433,0.08508605344427957
5,0.08653310786296682,0.0823697205632925
6,0.06536570005118847,0.06004601841171583
7,0.058396764008737195,0.05893086683419016
8,0.052487025173698985,0.061829565506842404
9,0.04542841407947424,0.05846663605835703
10,0.04624058933156293,0.05944406365354856
11,0.03960497559207242,0.057047030991978116
12,0.042329213195821135,0.055117469280958176
13,0.0370805326213197,0.05515813206632932
14,0.039554473058116144,0.05344896804955271
15,0.03577321281702053,0.052619974646303386
16,0.036903879900531074,0.04642876651551989
17,0.03401040921850902,0.05012290241817633
18,0.034017544557772034,0.04833294803069697
19,0.032469779162145246,0.047747634144292936
20,0.03196941947609913,0.045275095022386976
21,0.030917392998206908,0.04741662637227111
22,0.03096895512738606,0.046177325356337756
23,0.030445526694742646,0.050228153044978775
24,0.029606405577463347,0.04432566567427582
25,0.02921180186293474,0.044001656067040235
26,0.028871249657396864,0.0500745986484819
27,0.028640655936991295,0.04391893040802744
28,0.028004674104655663,0.04459627883301841
29,0.02792123830082213,0.04724608734250069
